Time (UTCG),q1,q2,q3,q4
15:00.0,0.159767,0.852092,-0.348087,-0.35672
16:00.0,0.148386,0.86324,-0.35309,-0.328823
17:00.0,0.136849,0.873476,-0.357721,-0.300579
18:00.0,0.125167,0.882788,-0.361975,-0.272016
19:00.0,0.113353,0.891166,-0.365848,-0.243166
20:00.0,0.10142,0.898602,-0.369335,-0.214058
21:00.0,0.08938,0.905087,-0.372433,-0.184725
22:00.0,0.077245,0.910614,-0.375139,-0.155196
23:00.0,0.06503,0.915179,-0.377449,-0.125502
24:00.0,0.052745,0.918776,-0.379362,-0.095676
25:00.0,0.040405,0.9214,-0.380875,-0.065749
26:00.0,0.028022,0.923051,-0.381987,-0.035752
27:00.0,0.01561,0.923725,-0.382696,-0.005718
28:00.0,0.003181,0.923422,-0.383002,0.024323
29:00.0,-0.009251,0.922142,-0.382905,0.054337
30:00.0,-0.021674,0.919887,-0.382404,0.084294
31:00.0,-0.034074,0.916659,-0.3815,0.114163
32:00.0,-0.046437,0.912462,-0.380194,0.14391
33:00.0,-0.058753,0.907299,-0.378488,0.173505
34:00.0,-0.071006,0.901177,-0.376382,0.202916
35:00.0,-0.083184,0.894101,-0.373881,0.232113
36:00.0,-0.095275,0.88608,-0.370985,0.261064
37:00.0,-0.107266,0.877122,-0.367698,0.28974
38:00.0,-0.119144,0.867236,-0.364024,0.318108
39:00.0,-0.130896,0.856433,-0.359967,0.34614
40:00.0,-0.14251,0.844724,-0.35553,0.373806
41:00.0,-0.153975,0.832121,-0.350718,0.401077
42:00.0,-0.165277,0.818639,-0.345537,0.427923
43:00.0,-0.176405,0.80429,-0.339992,0.454317
44:00.0,-0.187347,0.789091,-0.334088,0.48023
45:00.0,-0.198092,0.773057,-0.327833,0.505636
46:00.0,-0.208628,0.756206,-0.321232,0.530506
47:00.0,-0.218945,0.738555,-0.314292,0.554815
48:00.0,-0.22903,0.720123,-0.307022,0.578538
49:00.0,-0.238875,0.700929,-0.299427,0.601648
50:00.0,-0.248468,0.680993,-0.291518,0.624123
51:00.0,-0.257799,0.660338,-0.283301,0.645937
52:00.0,-0.266859,0.638984,-0.274785,0.667067
53:00.0,-0.275637,0.616954,-0.26598,0.687493
54:00.0,-0.284126,0.594272,-0.256895,0.707191
55:00.0,-0.292314,0.570961,-0.247539,0.726141
56:00.0,-0.300195,0.547046,-0.237922,0.744323
57:00.0,-0.30776,0.522553,-0.228054,0.761717
58:00.0,-0.315,0.497507,-0.217946,0.778306
59:00.0,-0.321909,0.471935,-0.207608,0.794072
00:00.0,-0.328478,0.445864,-0.197052,0.808998
01:00.0,-0.334702,0.419321,-0.186288,0.823068
02:00.0,-0.340572,0.392335,-0.175327,0.836268
03:00.0,-0.346084,0.364933,-0.164182,0.848583
04:00.0,-0.351232,0.337146,-0.152863,0.860001
05:00.0,-0.356009,0.309002,-0.141384,0.870509
06:00.0,-0.360411,0.280532,-0.129755,0.880096
07:00.0,-0.364434,0.251765,-0.11799,0.888753
08:00.0,-0.368072,0.222731,-0.1061,0.896469
09:00.0,-0.371323,0.193462,-0.094098,0.903237
10:00.0,-0.374182,0.163988,-0.081998,0.90905
11:00.0,-0.376648,0.134341,-0.06981,0.913901
12:00.0,-0.378716,0.104552,-0.057549,0.917786
13:00.0,-0.380386,0.074653,-0.045228,0.9207
14:00.0,-0.381654,0.044674,-0.032858,0.92264
15:00.0,-0.382521,0.014648,-0.020454,0.923604
16:00.0,-0.382984,-0.015393,-0.008029,0.923592
17:00.0,-0.383044,-0.045418,0.004406,0.922602
18:00.0,-0.382701,-0.075395,0.016835,0.920637
19:00.0,-0.381954,-0.105292,0.029247,0.917698
20:00.0,-0.380804,-0.135078,0.041629,0.913788
21:00.0,-0.379254,-0.164721,0.053966,0.908912
22:00.0,-0.377304,-0.194189,0.066247,0.903075
23:00.0,-0.374956,-0.223453,0.078458,0.896282
24:00.0,-0.372213,-0.252479,0.090586,0.888541
25:00.0,-0.369078,-0.281239,0.102619,0.879861
26:00.0,-0.365554,-0.309701,0.114544,0.87025
27:00.0,-0.361645,-0.337836,0.126348,0.859718
28:00.0,-0.357355,-0.365613,0.13802,0.848278
29:00.0,-0.352688,-0.393004,0.149545,0.83594
30:00.0,-0.34765,-0.419978,0.160914,0.822718
31:00.0,-0.342245,-0.446509,0.172113,0.808625
32:00.0,-0.33648,-0.472567,0.183131,0.793678
33:00.0,-0.33036,-0.498126,0.193955,0.777891
34:00.0,-0.323892,-0.523157,0.204576,0.761281
35:00.0,-0.317083,-0.547636,0.214981,0.743866
36:00.0,-0.30994,-0.571535,0.225159,0.725665
37:00.0,-0.30247,-0.594829,0.235101,0.706695
38:00.0,-0.294681,-0.617494,0.244795,0.686979
39:00.0,-0.286581,-0.639506,0.25423,0.666536
40:00.0,-0.27818,-0.660842,0.263398,0.645387
41:00.0,-0.269486,-0.681479,0.272289,0.623557
42:00.0,-0.260507,-0.701395,0.280893,0.601066
43:00.0,-0.251254,-0.720569,0.289201,0.57794
44:00.0,-0.241736,-0.738981,0.297204,0.554203
45:00.0,-0.231964,-0.756611,0.304894,0.52988
46:00.0,-0.221947,-0.773441,0.312263,0.504996
47:00.0,-0.211696,-0.789453,0.319303,0.479578
48:00.0,-0.201222,-0.80463,0.326006,0.453653
49:00.0,-0.190536,-0.818955,0.332366,0.427248
50:00.0,-0.179649,-0.832415,0.338376,0.400391
51:00.0,-0.168572,-0.844994,0.34403,0.373111
52:00.0,-0.157318,-0.856679,0.349321,0.345436
53:00.0,-0.145899,-0.867459,0.354244,0.317396
54:00.0,-0.134325,-0.877321,0.358793,0.28902
55:00.0,-0.12261,-0.886254,0.362965,0.260339
56:00.0,-0.110765,-0.894251,0.366754,0.231382
57:00.0,-0.098804,-0.901301,0.370157,0.202181
58:00.0,-0.086738,-0.907399,0.37317,0.172765
59:00.0,-0.074582,-0.912536,0.37579,0.143167
00:00.0,-0.062346,-0.916709,0.378014,0.113418
01:00.0,-0.050045,-0.919912,0.379839,0.083548
02:00.0,-0.03769,-0.922141,0.381265,0.053591
03:00.0,-0.025296,-0.923396,0.382288,0.023576
04:00.0,-0.012876,-0.923674,0.382909,-0.006463
05:00.0,-0.000441,-0.922974,0.383127,-0.036495
06:00.0,0.011993,-0.921299,0.38294,-0.066489
07:00.0,0.024416,-0.918649,0.382351,-0.096412
08:00.0,0.036812,-0.915028,0.381358,-0.126234
09:00.0,0.04917,-0.910439,0.379963,-0.155921
10:00.0,0.061477,-0.904886,0.378169,-0.185444
11:00.0,0.073718,-0.898377,0.375975,-0.214771
12:00.0,0.085882,-0.890918,0.373386,-0.243871
13:00.0,0.097956,-0.882516,0.370403,-0.272712
14:00.0,0.109926,-0.873181,0.36703,-0.301265
15:00.0,0.121781,-0.862922,0.36327,-0.3295
16:00.0,0.133507,-0.851751,0.359127,-0.357385
17:00.0,0.145093,-0.839678,0.354606,-0.384893
18:00.0,0.156526,-0.826718,0.349712,-0.411994
19:00.0,0.167794,-0.812883,0.344448,-0.438659
20:00.0,0.178886,-0.798189,0.338822,-0.46486
21:00.0,0.189789,-0.78265,0.332839,-0.490569
22:00.0,0.200492,-0.766283,0.326505,-0.515759
23:00.0,0.210984,-0.749106,0.319827,-0.540404
24:00.0,0.221254,-0.731137,0.312812,-0.564477
25:00.0,0.231291,-0.712394,0.305467,-0.587953
26:00.0,0.241084,-0.692898,0.2978,-0.610807
27:00.0,0.250623,-0.672669,0.28982,-0.633015
28:00.0,0.259898,-0.651729,0.281534,-0.654554
29:00.0,0.268899,-0.630099,0.272952,-0.6754
30:00.0,0.277617,-0.607803,0.264081,-0.695532
31:00.0,0.286043,-0.584864,0.254933,-0.714928
32:00.0,0.294167,-0.561307,0.245516,-0.733568
33:00.0,0.301982,-0.537156,0.23584,-0.751432
34:00.0,0.309478,-0.512436,0.225915,-0.768502
35:00.0,0.316648,-0.487175,0.215753,-0.784758
36:00.0,0.323485,-0.461399,0.205363,-0.800184
37:00.0,0.329981,-0.435134,0.194756,-0.814764
38:00.0,0.336129,-0.40841,0.183944,-0.828483
39:00.0,0.341923,-0.381253,0.172939,-0.841325
40:00.0,0.347357,-0.353693,0.161751,-0.853277
41:00.0,0.352425,-0.325759,0.150393,-0.864326
42:00.0,0.357121,-0.297481,0.138876,-0.874461
43:00.0,0.361442,-0.268888,0.127212,-0.883672
44:00.0,0.365381,-0.240011,0.115415,-0.891948
45:00.0,0.368936,-0.210879,0.103496,-0.89928
46:00.0,0.372102,-0.181525,0.091467,-0.905661
47:00.0,0.374876,-0.151979,0.079343,-0.911085
48:00.0,0.377255,-0.122272,0.067134,-0.915544
49:00.0,0.379236,-0.092436,0.054855,-0.919036
50:00.0,0.380818,-0.062502,0.042518,-0.921555
51:00.0,0.381999,-0.032502,0.030136,-0.923099
52:00.0,0.382777,-0.002468,0.017722,-0.923668
53:00.0,0.383152,0.027569,0.00529,-0.923259
54:00.0,0.383123,0.057577,-0.007149,-0.921873
55:00.0,0.38269,0.087524,-0.019579,-0.919513
56:00.0,0.381855,0.117378,-0.03199,-0.91618
57:00.0,0.380617,0.147108,-0.044366,-0.911878
58:00.0,0.378977,0.176682,-0.056696,-0.906612
59:00.0,0.376939,0.20607,-0.068967,-0.900387
00:00.0,0.374503,0.235239,-0.081164,-0.893209
01:00.0,0.371673,0.26416,-0.093277,-0.885087
02:00.0,0.368451,0.292801,-0.105291,-0.876028
03:00.0,0.364841,0.321132,-0.117194,-0.866043
04:00.0,0.360847,0.349124,-0.128974,-0.855142
05:00.0,0.356472,0.376746,-0.140618,-0.843337
06:00.0,0.351721,0.40397,-0.152114,-0.830639
07:00.0,0.3466,0.430767,-0.16345,-0.817063
08:00.0,0.341114,0.457108,-0.174613,-0.802623
09:00.0,0.335268,0.482965,-0.185593,-0.787334
10:00.0,0.329069,0.508312,-0.196377,-0.771212
11:00.0,0.322523,0.533121,-0.206955,-0.754275
12:00.0,0.315638,0.557366,-0.217314,-0.736539
13:00.0,0.30842,0.581022,-0.227445,-0.718025
14:00.0,0.300876,0.604062,-0.237336,-0.698752
15:00.0,0.293016,0.626464,-0.246977,-0.678739
16:00.0,0.284847,0.648204,-0.256358,-0.658008
17:00.0,0.276377,0.669258,-0.265468,-0.636582
18:00.0,0.267617,0.689603,-0.2743,-0.614482
19:00.0,0.258574,0.70922,-0.282842,-0.591732
20:00.0,0.249259,0.728086,-0.291086,-0.568357
21:00.0,0.239681,0.746182,-0.299024,-0.54438
22:00.0,0.229851,0.763489,-0.306646,-0.519828
23:00.0,0.219778,0.779989,-0.313946,-0.494726
24:00.0,0.209474,0.795663,-0.320915,-0.4691
25:00.0,0.198949,0.810496,-0.327545,-0.442979
26:00.0,0.188214,0.824471,-0.333831,-0.416389
27:00.0,0.177281,0.837575,-0.339765,-0.389358
28:00.0,0.16616,0.849792,-0.345341,-0.361916
29:00.0,0.154865,0.861111,-0.350553,-0.334091
30:00.0,0.143407,0.871519,-0.355396,-0.305913
31:00.0,0.131797,0.881005,-0.359864,-0.277411
32:00.0,0.120048,0.88956,-0.363954,-0.248616
33:00.0,0.108173,0.897173,-0.367659,-0.219558
34:00.0,0.096184,0.903838,-0.370978,-0.190267
35:00.0,0.084093,0.909546,-0.373906,-0.160776
36:00.0,0.071914,0.914293,-0.376439,-0.131114
37:00.0,0.059659,0.918072,-0.378576,-0.101314
38:00.0,0.04734,0.92088,-0.380315,-0.071407
39:00.0,0.034972,0.922715,-0.381652,-0.041424
40:00.0,0.022567,0.923573,-0.382587,-0.011398
41:00.0,0.010138,0.923455,-0.38312,0.018641
42:00.0,-0.002302,0.92236,-0.383248,0.04866
43:00.0,-0.014739,0.920289,-0.382973,0.078627
44:00.0,-0.027161,0.917245,-0.382294,0.108511
45:00.0,-0.039555,0.913231,-0.381213,0.13828
46:00.0,-0.051906,0.908251,-0.37973,0.167903
47:00.0,-0.064204,0.90231,-0.377846,0.197349
48:00.0,-0.076433,0.895415,-0.375565,0.226585
49:00.0,-0.088583,0.887573,-0.372888,0.255582
50:00.0,-0.100639,0.878792,-0.369818,0.284309
51:00.0,-0.112589,0.869082,-0.366358,0.312735
52:00.0,-0.12442,0.858452,-0.362512,0.34083
53:00.0,-0.136121,0.846914,-0.358284,0.368564
54:00.0,-0.147678,0.834481,-0.353679,0.395909
55:00.0,-0.15908,0.821165,-0.348701,0.422835
56:00.0,-0.170314,0.806981,-0.343356,0.449313
57:00.0,-0.181369,0.791943,-0.337648,0.475316
58:00.0,-0.192233,0.776067,-0.331585,0.500817
59:00.0,-0.202894,0.759371,-0.325173,0.525788
00:00.0,-0.213341,0.741871,-0.318417,0.550202
01:00.0,-0.223564,0.723587,-0.311327,0.574035
02:00.0,-0.233552,0.704538,-0.303908,0.59726
03:00.0,-0.243293,0.684743,-0.296169,0.619854
04:00.0,-0.252778,0.664224,-0.288118,0.641792
05:00.0,-0.261997,0.643003,-0.279763,0.663051
06:00.0,-0.27094,0.621102,-0.271113,0.683609
07:00.0,-0.279598,0.598543,-0.262178,0.703444
08:00.0,-0.287961,0.575352,-0.252966,0.722535
09:00.0,-0.29602,0.551552,-0.243488,0.740862
10:00.0,-0.303768,0.527169,-0.233753,0.758405
11:00.0,-0.311196,0.502228,-0.223772,0.775145
12:00.0,-0.318296,0.476756,-0.213554,0.791066
13:00.0,-0.32506,0.45078,-0.203112,0.80615
14:00.0,-0.331482,0.424327,-0.192456,0.820382
15:00.0,-0.337555,0.397426,-0.181597,0.833746
16:00.0,-0.343273,0.370104,-0.170546,0.846228
17:00.0,-0.348628,0.34239,-0.159316,0.857814
18:00.0,-0.353617,0.314315,-0.147917,0.868494
19:00.0,-0.358233,0.285907,-0.136363,0.878255
20:00.0,-0.362471,0.257197,-0.124665,0.887087
21:00.0,-0.366328,0.228214,-0.112836,0.894981
22:00.0,-0.369798,0.198991,-0.100887,0.901928
23:00.0,-0.372879,0.169557,-0.088832,0.907921
24:00.0,-0.375567,0.139943,-0.076684,0.912954
25:00.0,-0.37786,0.110182,-0.064454,0.917021
26:00.0,-0.379754,0.080304,-0.052157,0.920118
27:00.0,-0.381248,0.050342,-0.039804,0.922242
28:00.0,-0.382341,0.020326,-0.02741,0.923391
29:00.0,-0.38303,-0.009712,-0.014986,0.923563
30:00.0,-0.383317,-0.039739,-0.002547,0.922758
31:00.0,-0.383199,-0.069724,0.009895,0.920977
32:00.0,-0.382677,-0.099635,0.022327,0.918222
33:00.0,-0.381752,-0.129441,0.034736,0.914496
34:00.0,-0.380425,-0.159109,0.047108,0.909803
35:00.0,-0.378698,-0.18861,0.05943,0.904147
36:00.0,-0.376571,-0.217911,0.07169,0.897535
37:00.0,-0.374047,-0.246981,0.083874,0.889974
38:00.0,-0.371129,-0.27579,0.09597,0.881472
39:00.0,-0.36782,-0.304308,0.107966,0.872037
40:00.0,-0.364124,-0.332503,0.119847,0.86168
41:00.0,-0.360044,-0.360347,0.131602,0.850411
42:00.0,-0.355584,-0.38781,0.143219,0.838243
43:00.0,-0.35075,-0.414862,0.154685,0.825189
44:00.0,-0.345546,-0.441476,0.165988,0.811261
45:00.0,-0.339978,-0.467622,0.177116,0.796476
46:00.0,-0.334052,-0.493274,0.188058,0.780848
47:00.0,-0.327774,-0.518405,0.198801,0.764394
48:00.0,-0.32115,-0.542986,0.209336,0.747132
49:00.0,-0.314188,-0.566994,0.219649,0.72908
50:00.0,-0.306895,-0.590402,0.229732,0.710257
51:00.0,-0.299278,-0.613185,0.239572,0.690682
52:00.0,-0.291346,-0.63532,0.24916,0.670377
53:00.0,-0.283107,-0.656783,0.258486,0.649363
54:00.0,-0.27457,-0.677551,0.267539,0.627662
55:00.0,-0.265743,-0.697602,0.276311,0.605297
56:00.0,-0.256636,-0.716915,0.284791,0.582292
57:00.0,-0.247259,-0.735471,0.292972,0.558671
58:00.0,-0.237621,-0.753248,0.300844,0.534459
59:00.0,-0.227733,-0.770228,0.308399,0.509683
00:00.0,-0.217604,-0.786394,0.315629,0.484367
01:00.0,-0.207247,-0.801728,0.322526,0.458538
02:00.0,-0.196671,-0.816214,0.329084,0.432225
03:00.0,-0.185887,-0.829837,0.335295,0.405455
04:00.0,-0.174908,-0.842582,0.341153,0.378256
05:00.0,-0.163744,-0.854436,0.346651,0.350656
06:00.0,-0.152407,-0.865386,0.351784,0.322686
07:00.0,-0.14091,-0.875421,0.356547,0.294375
08:00.0,-0.129264,-0.88453,0.360934,0.265753
09:00.0,-0.117482,-0.892703,0.364941,0.236849
10:00.0,-0.105577,-0.899932,0.368563,0.207695
11:00.0,-0.093559,-0.906209,0.371797,0.178321
12:00.0,-0.081443,-0.911528,0.374639,0.148759
13:00.0,-0.069242,-0.915883,0.377087,0.119039
14:00.0,-0.056967,-0.919269,0.379137,0.089194
15:00.0,-0.044632,-0.921682,0.380787,0.059254
16:00.0,-0.03225,-0.923121,0.382037,0.029252
17:00.0,-0.019833,-0.923583,0.382884,-0.000782
18:00.0,-0.007396,-0.923069,0.383328,-0.030814
19:00.0,0.005049,-0.921578,0.383367,-0.060814
20:00.0,0.017489,-0.919112,0.383003,-0.090749
21:00.0,0.02991,-0.915675,0.382235,-0.120589
22:00.0,0.0423,-0.911268,0.381065,-0.150301
23:00.0,0.054646,-0.905898,0.379493,-0.179853
24:00.0,0.066934,-0.89957,0.377521,-0.209216
25:00.0,0.079152,-0.892291,0.375151,-0.238357
26:00.0,0.091286,-0.884067,0.372386,-0.267246
27:00.0,0.103325,-0.874909,0.369228,-0.295852
28:00.0,0.115255,-0.864825,0.365682,-0.324146
29:00.0,0.127063,-0.853827,0.36175,-0.352096
30:00.0,0.138737,-0.841925,0.357437,-0.379674
31:00.0,0.150266,-0.829133,0.352747,-0.406851
32:00.0,0.161636,-0.815464,0.347686,-0.433597
33:00.0,0.172836,-0.800933,0.342258,-0.459884
34:00.0,0.183854,-0.785554,0.33647,-0.485685
35:00.0,0.194678,-0.769345,0.330327,-0.510973
36:00.0,0.205298,-0.752322,0.323836,-0.535719
37:00.0,0.215701,-0.734503,0.317004,-0.559899
38:00.0,0.225876,-0.715907,0.309837,-0.583487
39:00.0,0.235814,-0.696554,0.302344,-0.606458
40:00.0,0.245504,-0.676465,0.294533,-0.628787
41:00.0,0.254935,-0.65566,0.286411,-0.650451
42:00.0,0.264098,-0.634162,0.277987,-0.671428
43:00.0,0.272982,-0.611992,0.26927,-0.691693
44:00.0,0.281579,-0.589176,0.260269,-0.711228
45:00.0,0.289879,-0.565737,0.250995,-0.73001
46:00.0,0.297874,-0.541699,0.241455,-0.74802
47:00.0,0.305554,-0.517088,0.231661,-0.765238
48:00.0,0.312914,-0.49193,0.221623,-0.781648
49:00.0,0.319943,-0.466252,0.211351,-0.79723
50:00.0,0.326635,-0.440081,0.200857,-0.811969
51:00.0,0.332984,-0.413445,0.190151,-0.82585
52:00.0,0.338981,-0.386371,0.179244,-0.838857
53:00.0,0.344622,-0.358889,0.168148,-0.850976
54:00.0,0.349899,-0.331027,0.156876,-0.862196
55:00.0,0.354808,-0.302815,0.145437,-0.872504
56:00.0,0.359343,-0.274283,0.133846,-0.881888
57:00.0,0.363499,-0.24546,0.122113,-0.89034
58:00.0,0.367272,-0.216379,0.110252,-0.897851
59:00.0,0.370659,-0.187068,0.098274,-0.904411
00:00.0,0.373655,-0.157559,0.086192,-0.910015
01:00.0,0.376257,-0.127884,0.07402,-0.914657
02:00.0,0.378463,-0.098074,0.06177,-0.918331
03:00.0,0.38027,-0.06816,0.049454,-0.921034
04:00.0,0.381676,-0.038174,0.037086,-0.922763
05:00.0,0.38268,-0.008148,0.024679,-0.923515
06:00.0,0.383281,0.021887,0.012246,-0.923291
07:00.0,0.383478,0.051899,-0.0002,-0.92209
08:00.0,0.383272,0.081856,-0.012646,-0.919914
09:00.0,0.382661,0.111726,-0.025079,-0.916765
10:00.0,0.381647,0.141478,-0.037485,-0.912647
11:00.0,0.380231,0.17108,-0.049853,-0.907563
12:00.0,0.378414,0.200502,-0.062167,-0.901519
13:00.0,0.376199,0.229711,-0.074417,-0.894522
14:00.0,0.373587,0.258677,-0.086588,-0.886579
15:00.0,0.370582,0.28737,-0.098667,-0.877697
16:00.0,0.367186,0.315758,-0.110643,-0.867888
17:00.0,0.363403,0.343813,-0.122503,-0.857161
18:00.0,0.359237,0.371503,-0.134234,-0.845527
19:00.0,0.354693,0.398801,-0.145823,-0.832998
20:00.0,0.349775,0.425677,-0.157259,-0.819589
21:00.0,0.344488,0.452103,-0.168529,-0.805313
22:00.0,0.338838,0.478051,-0.179621,-0.790185
23:00.0,0.332831,0.503492,-0.190525,-0.774222
24:00.0,0.326474,0.528402,-0.201228,-0.757439
25:00.0,0.319772,0.552752,-0.211718,-0.739855
26:00.0,0.312734,0.576518,-0.221986,-0.721489
27:00.0,0.305366,0.599674,-0.23202,-0.70236
28:00.0,0.297676,0.622195,-0.24181,-0.682488
29:00.0,0.289672,0.644059,-0.251345,-0.661894
30:00.0,0.281363,0.665241,-0.260615,-0.640601
31:00.0,0.272758,0.685719,-0.269611,-0.618629
32:00.0,0.263865,0.705473,-0.278323,-0.596003
33:00.0,0.254694,0.72448,-0.286742,-0.572747
34:00.0,0.245254,0.74272,-0.294858,-0.548886
35:00.0,0.235556,0.760176,-0.302664,-0.524443
36:00.0,0.22561,0.776827,-0.310151,-0.499446
37:00.0,0.215426,0.792656,-0.317311,-0.473921
38:00.0,0.205015,0.807647,-0.324138,-0.447895
39:00.0,0.194387,0.821784,-0.330622,-0.421395
40:00.0,0.183555,0.835052,-0.336759,-0.394449
41:00.0,0.172529,0.847436,-0.34254,-0.367086
42:00.0,0.161322,0.858924,-0.347961,-0.339335
43:00.0,0.149944,0.869503,-0.353015,-0.311225
44:00.0,0.138408,0.879163,-0.357697,-0.282786
45:00.0,0.126727,0.887893,-0.362002,-0.254048
46:00.0,0.114911,0.895684,-0.365926,-0.225041
47:00.0,0.102975,0.902527,-0.369465,-0.195796
48:00.0,0.09093,0.908416,-0.372614,-0.166344
49:00.0,0.078789,0.913344,-0.375371,-0.136717
50:00.0,0.066565,0.917306,-0.377732,-0.106944
51:00.0,0.05427,0.920298,-0.379695,-0.077059
52:00.0,0.041919,0.922316,-0.381258,-0.047092
53:00.0,0.029523,0.923359,-0.382419,-0.017076
54:00.0,0.017095,0.923425,-0.383178,0.012959
55:00.0,0.00465,0.922515,-0.383532,0.04298
56:00.0,-0.0078,0.920629,-0.383483,0.072955
57:00.0,-0.020243,0.917769,-0.38303,0.102853
58:00.0,-0.032664,0.913938,-0.382173,0.132643
59:00.0,-0.04505,0.909141,-0.380913,0.162292
00:00.0,-0.05739,0.903382,-0.379252,0.191769
01:00.0,-0.069669,0.896668,-0.377191,0.221043
02:00.0,-0.081874,0.889005,-0.374733,0.250084
03:00.0,-0.093994,0.880402,-0.37188,0.27886
04:00.0,-0.106015,0.870868,-0.368635,0.307341
05:00.0,-0.117924,0.860413,-0.365002,0.335497
06:00.0,-0.129708,0.849047,-0.360984,0.363298
07:00.0,-0.141357,0.836784,-0.356586,0.390714
08:00.0,-0.152856,0.823636,-0.351812,0.417718
09:00.0,-0.164195,0.809616,-0.346667,0.444279
10:00.0,-0.175361,0.79474,-0.341157,0.470371
11:00.0,-0.186342,0.779024,-0.335287,0.495965
12:00.0,-0.197126,0.762484,-0.329064,0.521034
13:00.0,-0.207703,0.745137,-0.322494,0.545552
14:00.0,-0.218062,0.727002,-0.315585,0.569494
15:00.0,-0.228191,0.708099,-0.308342,0.592832
16:00.0,-0.238079,0.688446,-0.300775,0.615544
17:00.0,-0.247717,0.668065,-0.292891,0.637605
18:00.0,-0.257093,0.646978,-0.284698,0.658991
19:00.0,-0.266199,0.625206,-0.276205,0.67968
20:00.0,-0.275025,0.602774,-0.267422,0.699651
21:00.0,-0.283561,0.579703,-0.258356,0.718881
22:00.0,-0.291798,0.55602,-0.249018,0.737351
23:00.0,-0.299727,0.531748,-0.239417,0.755041
24:00.0,-0.307341,0.506915,-0.229564,0.771932
25:00.0,-0.314632,0.481545,-0.219469,0.788007
26:00.0,-0.321591,0.455665,-0.209143,0.803248
27:00.0,-0.328211,0.429304,-0.198596,0.81764
28:00.0,-0.334485,0.402489,-0.18784,0.831167
29:00.0,-0.340407,0.375248,-0.176886,0.843815
30:00.0,-0.34597,0.34761,-0.165745,0.85557
31:00.0,-0.351169,0.319605,-0.15443,0.86642
32:00.0,-0.355998,0.291262,-0.142952,0.876354
33:00.0,-0.360451,0.26261,-0.131323,0.885361
34:00.0,-0.364525,0.233681,-0.119556,0.893432
35:00.0,-0.368215,0.204505,-0.107662,0.900558
36:00.0,-0.371517,0.175113,-0.095655,0.906731
37:00.0,-0.374428,0.145535,-0.083547,0.911945
38:00.0,-0.376944,0.115804,-0.071351,0.916194
39:00.0,-0.379063,0.08595,-0.05908,0.919474
40:00.0,-0.380783,0.056005,-0.046746,0.921782
41:00.0,-0.382101,0.026001,-0.034363,0.923115
42:00.0,-0.383017,-0.00403,-0.021944,0.923472
43:00.0,-0.383529,-0.034057,-0.009501,0.922852
44:00.0,-0.383637,-0.064048,0.002952,0.921255
45:00.0,-0.383341,-0.093971,0.015402,0.918685
46:00.0,-0.382641,-0.123795,0.027835,0.915142
47:00.0,-0.381538,-0.153488,0.04024,0.910632
48:00.0,-0.380033,-0.183018,0.052602,0.905159
49:00.0,-0.378127,-0.212355,0.064909,0.898728
50:00.0,-0.375823,-0.241467,0.077147,0.891347
51:00.0,-0.373123,-0.270324,0.089305,0.883022
52:00.0,-0.37003,-0.298895,0.101368,0.873764
53:00.0,-0.366547,-0.327149,0.113325,0.863582
54:00.0,-0.362677,-0.355058,0.125163,0.852487
55:00.0,-0.358426,-0.38259,0.136868,0.840489
56:00.0,-0.353797,-0.409719,0.14843,0.827603
57:00.0,-0.348794,-0.436413,0.159835,0.813842
58:00.0,-0.343425,-0.462647,0.171072,0.79922
59:00.0,-0.337693,-0.48839,0.182129,0.783752
00:00.0,-0.331606,-0.513617,0.192994,0.767456
01:00.0,-0.325169,-0.538301,0.203656,0.750347
02:00.0,-0.318389,-0.562416,0.214104,0.732446
03:00.0,-0.311274,-0.585935,0.224325,0.713769
04:00.0,-0.303831,-0.608835,0.234311,0.694338
05:00.0,-0.296068,-0.631091,0.24405,0.674172
06:00.0,-0.287992,-0.652679,0.253532,0.653293
07:00.0,-0.279613,-0.673577,0.262746,0.631724
08:00.0,-0.27094,-0.693762,0.271684,0.609486
09:00.0,-0.26198,-0.713214,0.280336,0.586603
10:00.0,-0.252745,-0.731911,0.288693,0.563101
11:00.0,-0.243243,-0.749834,0.296745,0.539002
12:00.0,-0.233485,-0.766964,0.304485,0.514334
13:00.0,-0.223481,-0.783283,0.311904,0.489121
14:00.0,-0.213241,-0.798773,0.318995,0.463392
15:00.0,-0.202777,-0.813419,0.325749,0.437172
16:00.0,-0.192098,-0.827204,0.33216,0.41049
17:00.0,-0.181217,-0.840114,0.338222,0.383374
18:00.0,-0.170146,-0.852135,0.343927,0.355852
19:00.0,-0.158894,-0.863255,0.34927,0.327954
20:00.0,-0.147475,-0.873462,0.354244,0.299709
21:00.0,-0.135901,-0.882745,0.358846,0.271147
22:00.0,-0.124183,-0.891095,0.36307,0.242299
23:00.0,-0.112335,-0.898502,0.366911,0.213194
24:00.0,-0.100368,-0.904959,0.370365,0.183864
25:00.0,-0.088295,-0.910458,0.373429,0.154339
26:00.0,-0.076129,-0.914995,0.3761,0.124652
27:00.0,-0.063882,-0.918563,0.378375,0.094832
28:00.0,-0.051568,-0.92116,0.380251,0.064912
29:00.0,-0.0392,-0.922783,0.381726,0.034924
30:00.0,-0.02679,-0.92343,0.382799,0.004898
31:00.0,-0.014352,-0.9231,0.383469,-0.025132
32:00.0,-0.001899,-0.921794,0.383735,-0.055136
33:00.0,0.010557,-0.919513,0.383596,-0.085081
